Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Шаблій,Ірина,Іванович,Жіноча,07/01/1995,Фізик,хутір Новий Буг,"вулиця Наявний 7-й, буд. 1 кв. 65, Берегове, 34971",+380 69 878 95 55,hlibdurdynets@example.com
Чайка,Гордій,Васильович,Чоловіча,02/03/1982,Громадський діяч,місто Алчевськ,"шосе Отамана Головатого, буд. 4 кв. 486, Генічеськ, 12192",070 746 08 85,fstets@example.com
Чумак,Ліза,Андріївна,Жіноча,31/08/1956,Дипломат,хутір Берислав,"набережна Морський, буд. 6, Запоріжжя, 27738",+380 69 330-06-40,viktornazarenko@example.com
Данько,Святослав,Петрівна,Чоловіча,22/06/1969,Мірошник,місто Любомль,"узвіз Кондрашина, буд. 03, Макіївка, 21720",+380 (71) 265-26-46,iefrem36@example.net
Онищенко,Дмитро,Петрович,Чоловіча,01/02/1958,Бухгалтер,місто Лебедин,"шосе Грибоєдова, буд. 9 кв. 00, Верхньодніпровськ, 55094",900-69-83,rzharko@example.com
Ажажа,Пармен,Олександрівна,Чоловіча,01/05/1993,Пілот,селище Нова Одеса,"шосе Одарія, буд. 49 кв. 84, Дубно, 73677",010 478 35 83,makar41@example.com
Штепа,Ілля,Петрівна,Чоловіча,11/12/1994,Кухар,селище Чорнобиль,"шосе Дунаєвського 3-й, буд. 1 кв. 90, Костянтинівка, 64848",+380 (25) 487-55-71,romanetsvarvara@example.org
Верес,Ярина,Андрійович,Жіноча,07/10/2001,Фермер,селище Новий Розділ,"шосе Кустанайська, буд. 532, Тиврів, 29854",+380 (16) 668-18-28,danyliukvira@example.org
Масоха,Антон,Іванівна,Чоловіча,30/07/1951,Дизайнер,місто Біляївка,"провулок Іванова 1-й, буд. 19, Луганськ, 22834",053 409-15-65,vasylyna09@example.net
Тесленко,Ольга,Петрівна,Жіноча,09/03/1956,Ґрунтознавець,село Моршин,"проспект Мічманський 2-й, буд. 6 кв. 6, Дунаївці, 35498",008-29-67,prokhir19@example.net
Притула,Борислав,Іванович,Чоловіча,21/01/1978,Перекладач,хутір Бар,"вулиця Хімічна, буд. 079, Тараща, 08944",+380 80 216-75-29,lbezborodky@example.org
Дутка,Демид,Іванівна,Чоловіча,31/03/1944,Медик,місто Мукачево,"набережна Садова, буд. 425 кв. 36, Теплодар, 49225",+380 (26) 732-00-84,omalyshko@example.org
Петрик,Ірина,Андріївна,Жіноча,28/05/1974,Няня,місто Борщів,"площа Михайлівська, буд. 81 кв. 4, Міусинськ, 79500",670 32 11,eparasiuk@example.net
Онуфрієнко,Зорян,Васильович,Чоловіча,15/10/1991,Стропальник,хутір Овруч,"набережна Паустовського, буд. 47 кв. 881, Ірпінь, 14728",+380 88 737-60-19,panaslupii@example.org
Вернигора,Адам,Іванович,Чоловіча,05/09/2004,Краєзнавець,місто Селидове,"проспект П'ята, буд. 30 кв. 49, Узин, 74771",775-89-49,lizachervonenko@example.org
Чумаченко,Юстим,Іванівна,Чоловіча,10/10/1964,Диригент,місто Суходільськ,"вулиця Пестеля, буд. 714 кв. 89, Кривий Ріг, 30328",307 89 34,solomiia47@example.net
Гречаник,Дарина,Василівна,Жіноча,08/01/1943,Співак,селище Феодосія,"набережна Молодогвардійська, буд. 623 кв. 08, Свалява, 10655",384 06 98,prymachenkoirena@example.com
Конопля,Амалія,Іванівна,Жіноча,29/05/1991,Кур'єр,місто Пустомити,"проспект Ляпунова, буд. 00, Нововолинськ, 91006",016 837 58 79,vonyshchenko@example.com
Гресь,Миколай,Василівна,Чоловіча,10/05/1948,Підприємець,хутір Збараж,"проспект Лузанівський 2-й, буд. 958, Бровари, 52479",+380 93 175-85-80,bohdankyrylenko@example.net
Дашкевич,Емілія,Васильович,Жіноча,05/06/1996,Пекар,селище Переяслав,"площа Планетна, буд. 63, Кременчук, 47037",+380 81 769-82-73,dvashchenko@example.org
Дутка,Орися,Петрович,Жіноча,19/03/1994,Кухар,село Рубіжне,"парк Дальницька, буд. 584, Мена , 19806",+380 (00) 414-04-48,panasshvedchenko@example.com
Абрамчук,Сніжана,Васильович,Жіноча,09/06/1992,Ріелтор,місто Сновськ,"провулок Монгольська, буд. 876, Соледар, 23868",+380 03 548 62 51,kostiantynhupalo@example.org
Колесниченко,Маруся,Василівна,Жіноча,06/02/1989,Кур'єр,село Мирноград,"парк Бітумна, буд. 35 кв. 065, Нова Одеса, 28181",+380 (52) 279-97-55,danna68@example.com
Ґжицький,Гордій,Іванович,Чоловіча,10/08/1942,Стропальник,місто Зборів,"парк Контрадмірала Луніна, буд. 52, Радехів, 15982",+380 (09) 161-60-56,mykhaliukviktor@example.net
Джунь,Златослава,Іванівна,Жіноча,07/04/1964,Електротехнік,селище Копичинці,"проспект Аеродромна, буд. 24, Ржищів, 89411",+380 (70) 940-27-13,nazar08@example.net
Джус,Аврелій,Петрівна,Чоловіча,04/01/1996,Археолог,селище Молочанськ,"сквер Новий, буд. 523 кв. 3, Умань, 61842",013 241 50 77,oksana12@example.net
Забашта,Галина,Василівна,Жіноча,13/12/1960,Доцент,селище Слов'янськ,"вулиця Спартаківський, буд. 208 кв. 900, Богодухів, 80127",089 920 95 58,vasyliakymchuk@example.com
Вахній,Наталія,Петрівна,Жіноча,18/07/2007,Епідеміолог,село Алушта,"провулок Прокатна, буд. 813, Кременчук, 57903",+380 90 799 83 37,iaroslavavdovychenko@example.net
Фаренюк,Одарка,Петрович,Жіноча,19/12/1993,Випробувач,селище Харків,"шосе Чорноморський 7-й, буд. 1, Копичинці, 20011",522-44-09,taras70@example.org
Супруненко,Азар,Андрійович,Чоловіча,16/09/1978,Будник,село Ніжин,"сквер Новомосковська дорога, буд. 3 кв. 167, Кропивницький, 80606",315-34-38,halynaarkhymovych@example.com
Щербак,Леопольд,Іванівна,Чоловіча,21/09/1947,Мовознавець,хутір Боково-Хрустальне,"парк Латвійський узвіз, буд. 536, Балта, 54824",+380 97 737 55 79,ihnatandriichuk@example.com
Ярош,Ольга,Петрович,Жіноча,23/06/1938,Психолог,місто Міусинськ,"площа Танкістів, буд. 6, Миргород, 43014",077 828-59-81,charnyshrozaliia@example.com
Петренко,Захар,Петрович,Чоловіча,05/05/1951,Перекладач,селище Остер ,"проспект 3-тя Лінія Марії Демченко, буд. 5 кв. 65, Збараж, 77838",+380 87 964 98 50,tovstukhaserhii@example.com
Кащенко,Василь,Іванівна,Чоловіча,04/05/1983,Золотар,село Мелітополь,"сквер Куниці, буд. 44, Сєвєродонецьк, 38789",606 10 42,moskalavhustyn@example.com
Хомик,Одарка,Петрівна,Жіноча,18/09/1953,Сценарист,місто Тернівка ,"проспект Лиманний, буд. 2 кв. 1, Хрустальний, 88112",+380 (18) 723-35-35,avreliivakulenko@example.org
Данильчук,Володимира,Олексійович,Жіноча,25/12/1995,Геолог,місто Зборів,"сквер Джерельна, буд. 3, Винники, 95942",824-57-15,xsachenko@example.net
Засенко,Аліна,Василівна,Жіноча,06/08/1947,Золотар,місто Борислав,"шосе Рибальська, буд. 56, Черкаси, 05215",+380 (96) 122-16-02,demydkorpaniuk@example.net
Артюх,Леонід,Петрович,Чоловіча,24/01/1963,Скульптор,хутір Підгородне,"узвіз Польська, буд. 65 кв. 20, Белз, 81346",+380 41 043-32-54,varfolomiicharnysh@example.net
Дрозденко,Марко,Петрович,Чоловіча,05/07/1984,Мінералог,селище Носівка,"площа Пілотна, буд. 387, Яворів, 23379",494 05 32,andriichukmykolai@example.org
Ковпак,Вʼячеслав,Петрович,Чоловіча,02/09/1964,Сценарист,селище Антрацит ,"парк Хлібна гавань, буд. 22 кв. 941, Чистякове, 68353",+380 (16) 479-14-31,batihvalentyn@example.com
Гузь,Онисим,Олексійович,Чоловіча,10/08/1939,Економіст,село Решетилівка,"шосе Дачний 1-й, буд. 02 кв. 41, Болград, 15672",+380 80 448-43-94,nadiia61@example.net
Черненко,Аніта,Петрівна,Жіноча,19/04/2004,Електрослюсар,селище Свалява,"вулиця Артилерійський 2-й, буд. 547, Коростень, 04752",802-41-39,zakhar28@example.com
Валенко,Христина,Петрівна,Жіноча,05/04/1941,Намотувальник,село Зеленодольськ,"провулок Степний 2-й, буд. 08 кв. 457, Дніпрорудне, 22843",+380 (74) 418-87-05,demydkorpaniuk@example.com
Бездітко,Іван,Олександрівна,Чоловіча,07/04/1940,Клавішник,місто Київ,"набережна Моторна, буд. 1 кв. 953, Вижниця, 35166",856 03 86,shchyrytsiaparmen@example.net
Килимник,Марина,Андріївна,Жіноча,22/01/1968,Історик,місто Новгород-Сіверський,"узвіз Іспанська, буд. 647, Волочиськ, 20369",006 610 61 91,sromanchuk@example.org
Вишняк,Володимира,Петрівна,Жіноча,23/02/1995,Мінералог,місто Полонне,"сквер Амурський 2-й, буд. 547, Арциз, 73542",026 265 43 00,kabaliukarsen@example.org
Худяк,Гордій,Андріївна,Чоловіча,07/04/1975,Письменник,селище Покровськ,"вулиця Аеродромна, буд. 844, Снігурівка, 40771",072 606 43 95,stetskyrylo@example.com
Вернидуб,Емілія,Васильович,Жіноча,02/02/1966,Астроном,селище Біляївка,"проспект Михайла Грушевського, буд. 3, Коростень, 94019",302 77 75,tkyrylenko@example.com
Колесниченко,Панас,Васильович,Чоловіча,26/12/1958,Зоолог,селище Нове Давидково,"парк Каретний, буд. 4 кв. 0, Богодухів, 36743",724-75-12,trokhym05@example.net
Корсун,Віра,Олексійович,Жіноча,18/07/2003,Парфюмер,селище Нова Одеса,"узвіз Басейний 2-й, буд. 8 кв. 9, Берислав, 49418",040 473-45-97,ielysavetavatamaniuk@example.net
Ґжицький,Христина,Олексійович,Жіноча,31/12/1997,Гірник,село Полонне,"проспект Пiвденний, буд. 008 кв. 55, Бібрка, 08691",035 143 81 05,vlasenkoustym@example.net
Базилевич,Еріка,Андріївна,Жіноча,17/08/1975,Астрофізик,хутір Верхівцеве,"парк Балтська дорога, буд. 28 кв. 691, Підгайці, 64202",+380 86 844 38 50,stepanfilipenko@example.net
Засенко,Розалія,Василівна,Жіноча,06/12/1984,Зоолог,село Кременчук,"провулок Сегедська, буд. 873, Селидове, 54111",+380 (18) 734-47-37,danylchukihnat@example.org
Василашко,Аніта,Андріївна,Жіноча,21/05/1995,Архітектор,селище Обухів,"узвіз Матюшенка, буд. 93, Кременчук, 95127",+380 (51) 746-66-89,alevtynievdokymenko@example.net
Яременко,Арсен,Васильович,Чоловіча,08/01/1985,Математик,хутір Іршава,"проспект Літакова, буд. 612, Виноградів, 21156",187 72 09,nestor94@example.org
Андрієнко,Антон,Васильович,Чоловіча,11/11/1955,Швачка,хутір Суходільськ,"площа Псковська, буд. 9, Вишгород, 12557",597 88 82,mykyta66@example.org
Рева,Вадим,Василівна,Чоловіча,28/01/1956,Клавішник,хутір Хмельницький,"парк Інглезі, буд. 279, Олешки, 05931",265-15-80,tetiana08@example.net
Уманець,Тетяна,Петрович,Жіноча,14/07/1990,Складальник,село Хотин,"парк Лиманчик 2-й Лінія 8-ма, буд. 359 кв. 736, Баштанка, 85980",761-24-32,shovkopliasmilena@example.net
Литвиненко,Амалія,Василівна,Жіноча,16/08/1975,Доцент,місто Яворів,"провулок Слави, буд. 1, Моршин, 85205",+380 67 126-60-49,heorhii08@example.com
Бевзенко,Пилип,Васильович,Чоловіча,11/05/1953,Науковець,хутір Буськ,"площа Архітектурна, буд. 9, Борзна, 91865",+380 78 457 30 54,oleksandrtelizhenko@example.com
Засуха,Данило,Петрівна,Чоловіча,14/05/1941,Філолог,хутір Новомиргород,"вулиця Лунний, буд. 3 кв. 9, Новгород-Сіверський, 37168",787-62-92,olehlysenko@example.com
Зайченко,Павло,Олександрівна,Чоловіча,18/08/2005,Кінорежисер,місто Жидачів,"проспект Катаєва, буд. 260, Амвросіївка, 33927",+380 34 871-65-93,kyrylo46@example.net
Єрмоленко,Симон,Петрович,Чоловіча,16/06/1955,Медик,село Запоріжжя,"парк Рішельєвська, буд. 3, Сквира, 29840",945 41 35,andrusenkodemian@example.com
Короленко,Ліза,Олександрівна,Жіноча,20/01/1957,Клавішник,село Білозерське,"шосе Слави, буд. 848, Жовті Води, 77556",060 533 02 35,anzheladrozd@example.org
Ющенко,Галина,Василівна,Жіноча,21/02/1959,Круп'є,село Камінь-Каширський,"парк 2-га Суворовська, буд. 884, Марганець , 17150",848 36 29,pudovenko@example.net
Тесленко,Марко,Петрович,Чоловіча,12/03/1959,Композитор,село Покровськ,"узвіз Семафорний, буд. 427 кв. 1, Бахмач, 86651",+380 16 184 26 00,romanderhach@example.org
Семенченко,Єва,Василівна,Жіноча,19/05/1984,Режисер,село Світлодарськ,"шосе Чернігівська, буд. 48, Дрогобич, 57264",+380 73 629-37-66,gkarpa@example.com
Дуплій,Мирон,Андрійович,Чоловіча,18/04/1989,Прокурор,селище Чоп,"провулок Бодаревського, буд. 264, Покров, 80114",+380 (10) 299-06-38,tytarenkovalentyn@example.net
Мамчур,Ярослав,Олександрівна,Чоловіча,27/03/1941,Астронавт,село Корюківка,"шосе Омська, буд. 613 кв. 933, Кобеляки, 90288",438-43-66,markoieroshenko@example.org
Власюк,Златослава,Василівна,Жіноча,30/11/2000,Драматург,хутір Одеса,"вулиця Сєрова, буд. 026, Сколе, 51970",511 78 95,andrii97@example.com
Міщенко,Тереза,Олександрівна,Жіноча,26/04/1948,Журналіст,хутір Яремче,"шосе Городня, буд. 54, Косів, 26763",827 29 49,hanna00@example.org
Ірванець,Софія,Андріївна,Жіноча,04/09/1953,Громадський діяч,село Богодухів,"проспект Кар’єрна, буд. 172 кв. 29, Запоріжжя, 78116",409 64 24,korzhzlatoslava@example.org
Гайдамака,Олег,Іванівна,Чоловіча,05/12/1955,Географ,місто Пирятин,"парк Стороженка Олега, буд. 568, Глухів, 53863",+380 13 851-93-54,kadeniukviacheslav@example.net
Абрамчук,Кирило,Петрівна,Чоловіча,10/07/1951,Соціолог,селище Судова Вишня,"площа Державіна, буд. 792, Олександрія, 23060",010 413 68 49,ovyshyvanyi@example.com
Джунь,Сергій,Олексійович,Чоловіча,26/05/1976,Євнух,місто Петрово-Красносілля,"набережна Ризька, буд. 158, Сміла, 09854",+380 (23) 966-79-89,pylypshakhrai@example.net
Остапчук,Захар,Василівна,Чоловіча,13/02/1976,Реабілітолог,місто Устилуг,"проспект Ляпідевського, буд. 58 кв. 8, Мелітополь, 32657",517 82 13,ztkachenko@example.com
Фурс,Дарина,Василівна,Жіноча,05/08/1972,Бізнесмен,селище Остер ,"проспект Новгородський, буд. 66, Білозерське, 96959",488-40-47,symon21@example.net
Гоголь-Яновський,Захар,Петрович,Чоловіча,29/12/1981,Складальник,місто Зоринськ,"провулок Привозна, буд. 167, Ланівці, 11075",075 086-55-75,trokhymsaienko@example.org
Шовкопляс,Дарина,Андрійович,Жіноча,28/02/1984,Бухгалтер,хутір Обухів,"парк Польська, буд. 799, Ходорів, 60545",+380 18 812-16-17,vasylstus@example.com
Жайворон,Тетяна,Петрівна,Жіноча,21/03/1974,Сантехнік,селище Золочів,"шосе Терещенка Володимира, буд. 034, Тиврів, 26133",+380 22 842-75-37,zynoviinesterenko@example.org
Ткаченко,Святослав,Іванович,Чоловіча,24/06/1960,Промисловець,село Красноград,"площа Виноградний тупик, буд. 24, Турка, 20308",+380 (86) 770-58-31,myroslav61@example.com
Коваленко,Єва,Іванович,Жіноча,03/06/2004,Конструктор,хутір Збараж,"сквер Рівності 1-й, буд. 872 кв. 2, Андрушівка, 11030",095 605-60-03,zorian96@example.net
Цимбал,Віктор,Олексійович,Чоловіча,03/08/1989,Провізор,селище Ананьїв,"провулок Чапаєва, буд. 790 кв. 20, Городенка, 11899",257 66 11,fgalagan@example.net
Чабан,Оксана,Андрійович,Жіноча,22/08/1976,Різноробочий,село Фастів,"шосе 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 35, Довжанськ, 13212",+380 76 566 49 96,artymnazar@example.com
Дараган,Леопольд,Петрівна,Чоловіча,15/04/1974,Ріелтор,місто Помічна,"вулиця Восьмого Березня Лінія 3-тя, буд. 05, Саки , 94591",054-73-98,sofiia04@example.net
Базилевич,Ольга,Іванівна,Жіноча,25/01/1951,Дерун,місто Волноваха,"площа Артезіанська, буд. 83, Прип'ять , 88439",+380 42 106-12-66,valenkohavrylo@example.net
Абрагамовський,Камілла,Андрійович,Жіноча,18/10/2005,Електрик,селище Новомосковськ,"парк Василя Кандинського 1-й, буд. 0 кв. 6, Вилкове, 99203",+380 (26) 032-53-94,jiashchuk@example.net
Петлюра,Едита,Петрівна,Жіноча,11/07/1952,Електромонтер,село Старий Самбір,"площа Тещин міст, буд. 2, Бориспіль, 41615",303 25 61,maksym61@example.net
Даниленко,Нестор,Петрович,Чоловіча,27/11/2000,Музичний редактор,селище Дружківка,"набережна Лінійна, буд. 676 кв. 093, Збараж, 16843",+380 (44) 858-72-03,gtkach@example.net
Лупій,Тетяна,Андрійович,Жіноча,05/04/1980,Соціолог,місто Буськ,"узвіз Восьмого березня узвіз, буд. 750 кв. 4, Барвінкове, 86659",070 483 79 89,kivanenko@example.org
Якимчук,Орина,Андріївна,Жіноча,08/06/1944,Актор,село Сторожинець,"набережна Дунаєвського 1-й, буд. 2 кв. 6, Дебальцеве, 59703",+380 (98) 335-45-87,nazar60@example.com
Акименко,Олена,Васильович,Жіноча,11/10/1978,Архітектор,хутір Червоноград,"узвіз Партизанської Слави, буд. 0 кв. 245, Часів Яр, 35047",025 533-49-03,tchalenko@example.net
Дашенко,Веніямин,Іванович,Чоловіча,16/07/1996,Музикознавець,селище Остер ,"проспект Селищна, буд. 635 кв. 756, Білогірськ, 34390",460 22 19,liliia15@example.org
Вакарчук,Варвара,Васильович,Жіноча,01/09/2005,Секретар,хутір Почаїв,"вулиця Котляревського, буд. 763, Васильків, 96327",+380 73 675-39-11,nestor39@example.net
Тичина,Галина,Олексійович,Жіноча,09/12/1975,Кінорежисер,селище Щолкіне,"узвіз Центральна, буд. 8 кв. 8, Яворів, 24102",+380 (11) 336-97-55,khoma56@example.com
Титаренко,Ганна,Петрівна,Жіноча,22/03/1950,Живописець,село Вознесенівка,"шосе Мельницька, буд. 12 кв. 643, Бережани, 35139",+380 49 430 73 65,hoholviacheslav@example.com
Теліженко,Прохір,Василівна,Чоловіча,24/09/1958,Гірник,місто Новодружеськ,"проспект Чайковського, буд. 04, Новоселиця, 90268",010 460 33 01,tsiupavalerii@example.net
Затовканюк,Юхим,Андрійович,Чоловіча,23/03/1988,Епідеміолог,хутір Алчевськ,"вулиця Одарія, буд. 67, Карлівка, 71972",+380 08 126-81-92,vitalii11@example.org
Гайдабура,Надія,Василівна,Жіноча,23/06/1952,Хореограф,хутір Городня,"парк Варненська, буд. 70, Хрестівка, 46397",+380 90 446-98-60,pkorolenko@example.org
Якимчук,Геннадій,Андрійович,Чоловіча,10/06/1998,Медик,селище Іллінці,"шосе Аеродромний 1-й, буд. 633, Кіцмань, 59894",+380 (03) 593-87-02,babiukrostyslav@example.com
Лемешко,Богуслав,Олексійович,Чоловіча,17/02/1998,Дантист,село Баштанка,"провулок Братська, буд. 427 кв. 844, Мостиська, 55373",+380 94 939-17-95,danylenkosviatoslava@example.com
Ящук,Хома,Андрійович,Чоловіча,07/11/2004,Зоолог,село Святогірськ,"парк Скидановський узвіз, буд. 5, Сватове, 62618",719-26-34,odarkahuk@example.org
Бабариченко,Лариса,Петрівна,Жіноча,27/08/1955,Піаніст,хутір Свалява,"площа Стороженка Олега, буд. 644, Гнівань, 33953",799 27 47,orkhypzinchuk@example.com
Жученко,Володимир,Іванович,Чоловіча,16/02/1961,Інженер,місто Глухів,"проспект Пресича Олександра, буд. 1, Апостолове, 57878",+380 (45) 996-02-88,mykhailynakhmara@example.net
Голик,Августин,Андрійович,Чоловіча,12/10/1991,Акушер,селище Вовчанськ,"парк Богдана Хмельницького, буд. 177 кв. 3, Костянтинівка, 42827",317-90-65,herman73@example.com
Вакуленко,Федір,Петрівна,Чоловіча,01/12/1952,Мікробіолог,хутір Немирів,"узвіз Мечникова, буд. 3 кв. 93, Нова Каховка, 14767",922 17 36,iaryna74@example.net
Чумаченко,Теодор,Олексійович,Чоловіча,03/05/1953,Бізнесмен,місто Вашківці,"провулок Одарія, буд. 079, Деражня, 48706",091 617 51 84,kostiantyn77@example.org
Лубенець,Павло,Андріївна,Чоловіча,24/04/1941,Пілот,місто Болград,"площа Строганов міст, буд. 287 кв. 202, Синельникове, 66416",061 608 13 06,zakhar11@example.com
Аверченко,Олена,Олексійович,Жіноча,08/03/1974,Електромонтажник,хутір Сторожинець,"площа Марата 1-й, буд. 55, Чортків, 33330",475-98-01,dzhunstepan@example.net
Масоха,Розалія,Андріївна,Жіноча,05/06/1991,Скульптор,село Енергодар,"площа Віцеадмірала Жукова, буд. 563 кв. 33, Хуст, 22737",+380 (55) 484-32-15,ksyrotenko@example.com
Гоголь,Дмитро,Андріївна,Чоловіча,13/06/1981,Нотаріус,село Тальне,"вулиця Недєліна, буд. 7, Знам'янка, 09033",337 79 65,pieshchenko@example.com
Фастенко,Демид,Олексійович,Чоловіча,30/03/1957,Патологоанатом,місто Горохів,"вулиця Амундсена, 1-й, буд. 74, Перемишляни, 77542",079 028 49 47,nasaula@example.net
Лавренко,Франц,Андрійович,Чоловіча,19/03/1987,Археолог,селище Хоростків,"провулок Восьмого Березня Лінія 2-га, буд. 106 кв. 3, Рожище, 77646",059-09-24,rarkhypenko@example.com
Терещук,Соломон,Василівна,Чоловіча,21/10/1993,Секретар,село Молочанськ,"проспект Проценка, буд. 6, Шумськ, 89625",+380 57 043 30 32,oksanamykytiuk@example.net
Пилипенко,Дарина,Васильович,Жіноча,23/07/1952,Ріелтор,село Кам'янка-Бузька,"шосе Овідіопольський, буд. 352 кв. 0, Світлодарськ, 21814",+380 00 900-00-86,nkorpaniuk@example.net
Щириця,Єва,Петрович,Жіноча,03/09/1939,Фрілансер,селище Василівка ,"провулок Леваневського, буд. 43 кв. 77, Решетилівка, 54585",040-80-12,skyrdabohodar@example.com
Шинкаренко,Любов,Андріївна,Жіноча,03/08/1993,Патологоанатом,хутір Марганець ,"провулок Шилова, буд. 874 кв. 80, Петрово-Красносілля, 80083",299 43 10,rlaba@example.net
Щириця,Роксолана,Васильович,Жіноча,29/09/1964,Водій,місто Амвросіївка,"вулиця Казковий, буд. 15 кв. 89, Павлоград, 77274",078 469-95-51,hresopanas@example.net
Воблий,Пріска,Васильович,Жіноча,09/11/1940,Промисловець,село Дунаївці,"проспект Мечникова, буд. 195 кв. 742, Судак , 69669",+380 83 896-96-36,dashenkoveniiamyn@example.org
Ісаєнко,Еріка,Петрівна,Жіноча,12/06/1957,Футболіст,селище Дубно,"провулок Марії Демченко, буд. 99 кв. 75, Сколе, 68254",+380 (35) 395-91-35,eieresko@example.org
Андріїшин,Тереза,Олександрівна,Жіноча,22/08/1975,Бібліотекар,село Верхньодніпровськ,"площа 15-та Суворовська, буд. 255, Бережани, 57124",091 283 99 74,gvernydub@example.org
Фастенко,Павло,Петрович,Чоловіча,30/05/1944,Астронавт,місто Судак ,"шосе Лінія 55-та, буд. 6, Костопіль, 05673",036 520 38 36,umanetsemiliia@example.com
Андрійчук,Хома,Андріївна,Чоловіча,29/07/1963,Нотаріус,хутір Хуст,"парк Троїцька, буд. 004, Монастирище, 13642",+380 31 871-60-25,orkhypbaranets@example.com
Артим,Ігнат,Іванович,Чоловіча,29/07/1970,Ботанік,селище Дебальцеве,"площа Локальна, буд. 8, Приморськ (Україна), 12250",+380 50 587 26 70,nehodaherman@example.net
Лавренко,Валентин,Василівна,Чоловіча,04/11/1970,Історик,село Кагарлик,"шосе Грузинська, буд. 910, Петрово-Красносілля, 11247",+380 17 137-79-19,kalchenkozlatoslava@example.org
Акуленко,Олена,Васильович,Жіноча,19/08/1996,Єгер,селище Кіцмань,"площа Черепанових, буд. 3 кв. 053, Олександрівськ, 66863",864-82-67,skyrdaolha@example.com
Ейбоженко,Гордій,Васильович,Чоловіча,22/04/1998,Геофізик,село Татарбунари,"парк Соляний 1-й, буд. 1, Тячів, 27755",+380 23 362-78-55,illia58@example.com
Артимович,Іван,Андріївна,Чоловіча,03/04/1957,Підприємець,місто Почаїв,"площа Рівний, буд. 1, Красногорівка, 86850",+380 (28) 250-11-20,tkhudiak@example.org
Якименко,Михайлина,Андрійович,Жіноча,07/08/1952,Мовознавець,місто Красноград,"парк Садова 4-та, буд. 1 кв. 898, Волноваха, 37759",297-28-00,aaronsmyk@example.com
Ємельяненко,Павло,Васильович,Чоловіча,18/07/1992,Ювелір,місто Бобринець,"проспект 8-ма Суворовська, буд. 613 кв. 827, Євпаторія, 71630",049 617 18 20,boleslav23@example.net
Андрієвич,Ліза,Василівна,Жіноча,28/12/1980,Ґрунтознавець,селище Зборів,"вулиця Степана Олійника узвіз, буд. 053, Київ, 22529",021 948-21-79,vasylyna18@example.org
Франко,Анжела,Андріївна,Жіноча,07/12/1998,Петрограф,місто Ічня,"провулок Балтський 4-й, буд. 64, Белз, 21132",+380 11 140-89-33,ilesyk@example.org
Атаманюк,Сніжана,Олексійович,Жіноча,13/06/2006,Реставратор,селище Бобровиця,"провулок 19-та Лінія, буд. 8, Ясинувата, 46957",+380 40 639 45 45,masliakmykyta@example.net
Барабаш,Тереза,Петрович,Жіноча,12/11/1989,Сантехнік,хутір Перемишляни,"проспект Дунаєвського 2-й, буд. 773 кв. 0, Нова Каховка, 02590",500 62 01,npanchuk@example.com
Юрченко,Ярослав,Петрович,Чоловіча,02/05/1948,Математик,місто Кодима,"проспект Степова, буд. 00 кв. 12, Дубно, 97484",081 453 46 81,vasyl05@example.net
Христенко,Михайло,Васильович,Чоловіча,23/04/1996,Реабілітолог,хутір Довжанськ,"вулиця Танкістів, буд. 24, Червоносів, 59257",+380 35 520-09-18,mykolai40@example.net
Гречко,Любов,Петрович,Жіноча,24/06/1953,Палеонтолог,хутір Решетилівка,"проспект Кустанайська, буд. 9 кв. 622, Кипуче, 57017",133 96 06,ktkachenko@example.org
Єрошенко,Яків,Андрійович,Чоловіча,18/01/1947,Фармацевт,хутір Судова Вишня,"шосе Нечипуренка, буд. 361 кв. 368, Моршин, 25207",592-20-27,romanshukhevych@example.org
Гоголь,Маруся,Петрович,Жіноча,31/01/1938,Каскадер,село Збараж,"вулиця Чернігівський, буд. 347, Корюківка, 07474",031 785-06-81,shelestada@example.net
Удовиченко,Спас,Петрівна,Чоловіча,08/01/1989,Футболіст,місто Семенівка,"сквер Академіка Панкратової, буд. 014 кв. 8, Українка , 85569",102 30 38,vashchenkoalbina@example.net
Дзюба,Андрій,Іванович,Чоловіча,01/09/1963,Психолог,село Бершадь,"шосе Глиняна, буд. 69 кв. 79, Амвросіївка, 23115",004 319 37 62,frubets@example.net
Салій,Тимофій,Олександрівна,Чоловіча,27/02/1969,Клавішник,місто Федорівка,"провулок Розумовський 2-й, буд. 4 кв. 69, Коломия, 22026",081 428-53-47,ada64@example.org
Чумаченко,Лілія,Олександрівна,Жіноча,08/10/1942,Електромонтер,місто Жовті Води,"шосе Архітекторська, буд. 176, Хуст, 71403",+380 68 661-38-45,cneporozhnii@example.net
Бабариченко,Азар,Андрійович,Чоловіча,05/04/1957,Модель,селище Рені,"сквер Бориса Дерев'янка, буд. 070, Бориспіль, 87865",025 317 71 67,iakymchukvolodymyr@example.net
Дубенко,Ірена,Петрович,Жіноча,18/01/1951,Бізнесмен,хутір Чигирин,"шосе Розумовський 1-й, буд. 1, Курахове, 19015",014 405 28 63,anita55@example.org
Ґоляш,Веніямин,Васильович,Чоловіча,03/09/1947,Актор,хутір Алупка,"набережна Радіо, буд. 9 кв. 0, Белз, 08751",+380 00 701-77-77,bruban@example.com
